ThirdEyeChic Optometry; Optometrists; 3.5 star rating; 8 reviews; Battery Park; 220 Murray St, New York, NY 10282; (212) 227-0360
Samuel T Jung, DDS; General Dentistry; 5.0 star rating; 3 reviews; Downtown Flushing, Flushing; 13511 40th Rd, Flushing, NY 11354; (718) 359-4433
Shanghai Medical; Doctors; 0; 0; Downtown Flushing, Flushing; 13636 39th Ave, Flushing, NY 11354; (718) 886-4977
Jaeil Acupuncture; Doctors; 0; 0; Downtown Flushing, Flushing; 4109 Union St, Flushing, NY 11355; (718) 445-2452
Chen Ying Jen Eugene Dental; General Dentistry; 0; 0; Downtown Flushing, Flushing; 13917 Franklin Ave, Flushing, NY 11355; (718) 358-7575
Shiuann-Rong Chen, DDS; Orthodontists; 5.0 star rating; 2 reviews; Downtown Flushing, Flushing; 4107 Bowne St, Flushing, NY 11355; (718) 762-1100
Joyce Cheung, MD; Obstetricians & Gynecologists; 3.5 star rating; 5 reviews; Downtown Flushing, Flushing; 136-20 38th Ave, Flushing, NY 11354; (718) 353-7701
Bronfman Ida, MD; Internal Medicine; 3.0 star rating; 5 reviews; Downtown Flushing, Flushing; 40-04 Bowne St, Flushing, NY 11354; (718) 539-3359
Golzad Mehrdad, MD; Neurologist; 5.0 star rating; 2 reviews; Elmhurst, LeFrak City; 91-31 Queens Blvd, Elmhurst, NY 11373; (718) 454-2222
North Shore LIJ Urgent Care Center; Health & Medical; 3.5 star rating; 10 reviews; LeFrak City; 95-25 Queens Blvd, Rego Park, NY 11374; (718) 925-6565
Russell Laudon, MD; Internal Medicine; 3.0 star rating; 5 reviews; LeFrak City; 5910 Junction Blvd, Queens, NY 11368; (718) 592-3200
Astra Clinic Labs; null; 0; 0; LeFrak City; 5816 Junction Blvd, Elmhurst, NY 11373; (718) 592-8948
Dr Alam; null; 0; 0; Jackson Heights; 3754 75th St, Jackson Heights, NY 11372; (718) 779-4441
Labs; null; 0; 0; Jackson Heights; 9020 Elmhurst Ave, Jackson Heights, NY 11372; (718) 426-6984
Enzo Clinic Labs; null; 0; 0; Jackson Heights; 8201 37th Ave, Jackson Heights, NY 11372; (718) 424-4044
Advanced Radiological Imaging Assocs PC; Doctors, Diagnostic Imaging; 2.5 star rating; 5 reviews; Elmhurst; 8940 56th Ave, Elmhurst, NY 11373; (718) 335-5532
Huachen Wei, MD; Dermatologists; 1.0 star rating; 8 reviews; Elmhurst; 8701 56th Ave, Elmhurst, NY 11373; (718) 457-0002
Apollo Imaging Diagnostic Radiology; Diagnostic Imaging; 1.0 star rating; 1 review; Elmhurst; 40-36 74 St, New York, NY 11373; (718) 426-6600
New Life Community Development Nlc Health; null; 0; 0; Elmhurst; 8210 Queens Boulevard, Elmhurst, NY 11373; (718) 565-9844
Advantage Care Physicians - Astoria; Medical Centers; 1.5 star rating; 4 reviews; Astoria; 31-75 23rd St, Astoria, NY 11106; (718) 956-2200
Fukilman Oscar MD; Doctors; 5.0 star rating; 2 reviews; Astoria; 2531 30th Road, Astoria, NY 11102; (718) 267-1102
Bakir Altai, MD; Surgeons; 5.0 star rating; 2 reviews; Astoria; 32-72 Steinway St, Astoria, NY 11103; (718) 255-1868
Advanced Radiological Imaging; Doctors; 2.0 star rating; 15 reviews; Astoria; 2916 Astoria Boulevard, Astoria, NY 11102; (718) 204-5801
Singh Pritam, MD; Internal Medicine; 4.5 star rating; 3 reviews; Astoria; 2714 Ditmars Blvd, Astoria, NY 11105; (718) 278-1484
Queens-Long Island Medical Group, PC; Family Practice; 2.0 star rating; 12 reviews; Astoria; 3175 23rd St, Long Island City, NY 11106; (718) 956-2200
Astoria Dental Assoc; General Dentistry, Cosmetic Dentists; 2.0 star rating; 2 reviews; Astoria; 3089 36th St, Astoria, NY 11103; (718) 278-4419
Andrea Olanescu, MD; Doctors; 1.5 star rating; 25 reviews; Astoria; 2322 30th Rd, Astoria, NY 11102; (718) 278-0888
Christodoulidou Florentia, MD; Doctors; 3.0 star rating; 6 reviews; Astoria; 2747 Crescent St, Astoria, NY 11102; (718) 932-3100
Mic Womens Health Services; null; 2.0 star rating; 1 review; Astoria; 1226 31st Ave, Astoria, NY 11106; (718) 267-6597
Jamaica Sexually Transmitted Diseases; null; 0; 0; Jamaica; 9037 Parsons Blvd, Jamaica, NY 11432; (718) 262-5572
Advanced Center For Psychotherapy; null; 1.0 star rating; 2 reviews; Jamaica; 17810 Wexford Ter, Jamaica, NY 11432; (718) 658-1123
Jamaica Estates Dentist; General Dentistry, Periodontists, Cosmetic Dentists; 5.0 star rating; 1 review; Flushing, Fresh Meadows; 80-31 189th St, Jamaica Estates, NY 11423; (718) 464-3647
Gentle Dental; General Dentistry, Cosmetic Dentists; 4.0 star rating; 47 reviews; Flushing, Bayside; 35-30 Francis Lewis Blvd, Bayside, NY 11358; (718) 461-0100
Wenhong Zhou, MD; Dermatologists; 4.0 star rating; 8 reviews; Downtown Flushing, Flushing; 3644 Main St, 2nd Fl, Flushing, NY 11354; (347) 732-0690
Pain Center NY; Physical Therapy, Sports Medicine, Chiropractors; 5.0 star rating; 7 reviews; Flushing, Hillcrest; 150-31 Union Turnpike, Queens, NY 11367; (718) 305-4747
NY Pride Pain; Physical Therapy, Chiropractors, Acupuncture; 0; 0; Downtown Flushing, Flushing; 136-82 39 Ave, Queens, NY 11354; (718) 445-2346
Flushing Hospital Medical Center; Obstetricians & Gynecologists, Pediatricians; 2.0 star rating; 22 reviews; Flushing, Murray Hill; 4500 Parsons Blvd, Flushing, NY 11355; (718) 670-5000
Merriderm Dermatology; Dermatologists; 4.0 star rating; 1 review; Flushing; 3644 main St, Queens, NY 11367; (347) 732-0690
Peace Alternative Medical; Acupuncture, Naturopathic/Holistic; 2.5 star rating; 3 reviews; Flushing, Murray Hill; 35-25 154 St, Flushing, NY 11357; (718) 359-0980
Queen’s MediSpa & Laser; Medical Spas, Skin Care; 2.5 star rating; 3 reviews; Downtown Flushing, Flushing; 39-15 Union St, Queens, NY 11354; (718) 886-6300
Advanced Best Care Dental; General Dentistry, Cosmetic Dentists; 4.5 star rating; 11 reviews; Downtown Flushing, Flushing; 43-04 Main St, Flushing, NY 11355; (718) 888-2328
Metropolitan Acupuncture & Chines Herbal Medicine; Acupuncture; 0; 0; Forest Hills; 97-24 Metropolitan Ave, Forest Hills, NY 11375; (347) 233-3880
NY Arthritis; Rheumatologists; 1.0 star rating; 3 reviews; Forest Hills; 7136 110th St, Forest Hills, NY 11375; (718) 261-2610
Jeffrey G Apfel, DDS; General Dentistry, Cosmetic Dentists; 1.0 star rating; 1 review; Forest Hills; 11020 73rd Rd, Forest Hills, NY 11375; (718) 793-0800
USA Vein; Medical Centers; 0; 0; Forest Hills; 116-02 Queens Blvd, Forest Hills, NY 11375; (347) 535-5608
Marina Neystat, MD; Neurologist; 0; 0; Forest Hills, Rego Park; 101-24 Queens Blvd, Ste A, Queens, NY 11375; (888) 273-3840
Advanced Sleep Care; Neurologist; 0; 0; Forest Hills; 6860 Austin St, Forest Hills, NY 11375; (866) 960-0434
Ergo Physical Therapy, PC; Physical Therapy; 1.0 star rating; 1 review; Forest Hills; 10740 Queens Blvd, Forest Hills, NY 11375; (718) 261-3100
Hearing Aid Center of Forest Hills; Audiologist, Hearing Aid Providers; 0; 0; Forest Hills; 70-50 Austin St, Forest Hills, NY 11375; (718) 793-9629
Alicia Diorio, LCSW; Counseling & Mental Health; 0; 0; Forest Hills; 40-45 75th St, New York, NY 11375; (718) 747-4374
New York Radiation Associates, MD; Oncologist; 0; 0; Forest Hills; 10614 70th Ave, Forest Hills, NY 11375; (718) 520-6620
Cross Bay Foot Care Center - Dr. Debra Weinstock; Podiatrists; 5.0 star rating; 1 review; Lindenwood; 157-02 Crossbay Boulevard, Howard Beach, NY 11414; (718) 835-0100
Cross  Bay Physical Medicine & Rehabilitation P.C.; Physical Therapy; 0; 0; Lindenwood; 157-02 Crossbay Blvd, Howard Beach, NY 11414; (718) 835-0754
We Care Walk In Medical Services; Medical Centers; 2.5 star rating; 8 reviews; Lindenwood; 8212 151st Ave, Howard Beach, NY 11414; (718) 843-5100
Michael Dardano; Reiki, Chiropractors, Nutritionists; 5.0 star rating; 6 reviews; Long Island City; 2703 42nd Rd, Long Island City, NY 11101; (917) 463-3764
Sensory City Pediatric Occupational Therapy; Occupational Therapy; 4.0 star rating; 7 reviews; Long Island City; 11-11 44th Rd, New York, NY 11101; (718) 433-4434
The Floating Hospital; Hospitals; 3.5 star rating; 3 reviews; Long Island City; 41-43 Crescent St, Long Island City, NY 11101; (718) 784-2240
QueensWest Health and Wellness; Medical Centers; 3.5 star rating; 5 reviews; Hunters Point, Long Island City; 5-31 50th Ave, New York, NY 11101; (718) 785-9855
Triumph Physical Therapy; Physical Therapy; 3.5 star rating; 3 reviews; Hunters Point, Long Island City; 5-31 50th Avenue, Long Island City, NY 11101; (646) 725-7199
Queens Bridge Clinic of Steinway Child & Family Developmental Ce; null; 0; 0; Long Island City; 4010 10th Street, Long Island City, NY 11101; (718) 786-0740
Bridge Plaza Treatment & Rehabilitation; null; 0; 0; Long Island City; 4115 27th St, Long Island City, NY 11101; (718) 786-3474
Bridge Plaza; null; 0; 0; Long Island City; 3718 34th Street, Long Island City, NY 11101; (718) 786-3474
Choices Women’s Medical Ctr; null; 1.0 star rating; 1 review; Long Island City; 2928 41st Avenue, Long Island City, NY 11101; (718) 391-0631
Hair Loss Control; Hair Loss Centers; 0; 0; Malba; 855 Lexington Ave, New York, NY 10065; (518) 220-1500
Petco; Pet Training, Pet Groomers, Pet Stores; 3.0 star rating; 45 reviews; Malba; 13311 20th Ave, College Point, NY 11356; (718) 321-1295
Elliott Ostro, DMS; General Dentistry, Oral Surgeons; 0; 0; Midtown West; 30 Ctrl Park S, New York, NY 10019; (646) 862-7077
Giraldo Paulina; Chiropractors; 0; 0; Chelsea, Midtown West; 469 Fashion Ave, Ste 1302, New York, NY 10123; (212) 268-7366
Ricardo Rieppi, Ph D; Counseling & Mental Health; 0; 0; Midtown West; 250 W 57th St, New York, NY 10019; (917) 338-7431
Rev. Sheri Heller, LCSW; Counseling & Mental Health; 0; 0; Hell's Kitchen, Midtown West; 330 W 38th St, New York, NY 10018; (212) 594-9801
Shamir A Khan; Counseling & Mental Health; 0; 0; Midtown West; 19 W 34th St, Manhattan, NY 10016; (917) 817-9028
Scolismart; Medical Centers; 0; 0; Midtown West; 2 W 45th St, New York, NY 10036; (212) 335-2020
Manhattan Center for Cognitive-Behavioral Therapy; Counseling & Mental Health; 0; 0; Midtown West; 276 5th Ave, Manhattan, NY 10001; (646) 863-4225
Pain Management; Anesthesiologists; 0; 0; Theater District, Midtown West; 825 7th Ave, New York, NY 10019; (212) 951-1238
Integrated Wellness NYC; Acupuncture, Chiropractors, Medical Centers; 0; 0; Koreatown, Midtown West; 308 Fifth Avenue, New York, NY 10001; (212) 684-2121
School Based Health Clinic At PS 51; Hospitals; 0; 0; Hell's Kitchen, Midtown West; 520 W 45th St, New York, NY 10036; (212) 265-5006
Kips Bay Gynecology; Obstetricians & Gynecologists; 1.5 star rating; 67 reviews; Midtown East, Flatiron; 419 Park Ave S, New York, NY 10016; (212) 545-5400
Advanced Dental Arts; Pediatric Dentists, General Dentistry, Orthodontists; 4.5 star rating; 25 reviews; Midtown East; 686 Lexington Ave, New York, NY 10022; (212) 230-1226
New York Hearing Doctors; Hearing Aid Providers; 2.5 star rating; 3 reviews; Midtown East; 120 E 56th St, New York, NY 10022; (212) 784-6125
Schweitzer & Schweitzer, PC; Oral Surgeons, General Dentistry, Cosmetic Dentists; 5.0 star rating; 10 reviews; Midtown East; 133 E 58th St, New York, NY 10022; (212) 759-4969
Janet K Yu, DMD; General Dentistry; 5.0 star rating; 14 reviews; Midtown East; 172 Lexington Ave, New York, NY 10016; (646) 784-7909
David H Fields, MD; Doctors; 5.0 star rating; 13 reviews; Midtown East; 888 Park Ave, New York, NY 10021; (212) 249-4700
Liviu Saimovici, MD; Ophthalmologists, Laser Eye Surgery/Lasik; 4.5 star rating; 14 reviews; Midtown East, Murray Hill; 800 2nd Ave, New York, NY 10017; (212) 517-3937
Shum Chi; Internal Medicine; 4.5 star rating; 18 reviews; Midtown East; 155 E 47th St, New York, NY 10017; (212) 308-4894
Linda Dahl, MD; Ear Nose & Throat; 4.5 star rating; 15 reviews; Midtown East; 120 E 56th St, New York, NY 10022; (212) 920-3047
Nancy Fan Mou, DDS; Dentists; 0; 0; Midtown East, Murray Hill; 161 Madison Ave Rm 8 NE, New York, NY 10016; (212) 683-0999
CityMD - Maspeth; Medical Centers, Urgent Care, Doctors; 3.5 star rating; 27 reviews; Maspeth; 74-25 Grand Ave, Queens, NY 11373; (718) 803-2273
Maspeth Dental HL; General Dentistry, Periodontists, Cosmetic Dentists; 1.0 star rating; 2 reviews; Maspeth; 66-62 Grand Ave, Maspeth, NY 11378; (718) 779-9000
NY Physical Therapy & Wellness; Physical Therapy; 5.0 star rating; 1 review; Maspeth; 74-25 Grand Avenue, Maspeth, NY 11378; (718) 478-8400
Skin Deep; Medical Spas; 5.0 star rating; 5 reviews; Middle Village; 94-19 59th Ave, Elmhurst, NY 11373; (917) 584-4353
Kalman Oral Surgery & Implant Center; Oral Surgeons, Doctors; 5.0 star rating; 45 reviews; Middle Village; 60-70 Woodhaven Blvd., Unit C-2, New York, NY 11373; (718) 897-6400
New Hope Counseling Center; Counseling & Mental Health; 2.0 star rating; 1 review; Middle Village; 70-01 Metropolitan Ave, Middle Village, NY 11379; (718) 440-9637
Jonathan M Vapnek MD PC; Urologists; 5.0 star rating; 1 review; Yorkville, Upper East Side; 229 E 79th St, New York, NY 10075; (212) 717-9500
Nina S Naidu, MD; Cosmetic Surgeons, Surgeons; 3.0 star rating; 4 reviews; Upper East Side; 1021 Park Ave, New York, NY 10028; (212) 452-1230
Prasad Cosmetic Surgery & Medi-Spa; Cosmetic Surgeons, Skin Care, Medical Spas; 4.0 star rating; 4 reviews; Upper East Side; 61 E 66th St, New York, NY 10065; (212) 265-8877
Yuliya Boruch Upper East Side OB/GYN care; Midwives, Obstetricians & Gynecologists; 5.0 star rating; 8 reviews; Upper East Side; 1036 Park Ave, New York, NY 10028; (877) 963-9777
ENT and Allergy Associates; Ear Nose & Throat, Allergists, Hearing Aid Providers; 2.5 star rating; 11 reviews; Yorkville, Upper East Side; 210 E 86th St, New York, NY 10028; (212) 722-5570
Hanna Jesionowska, MD; Fertility; 1.0 star rating; 1 review; Upper East Side; 159 East 74th Street #1c, New York, NY 10021; (212) 794-0080
Marc Avram, MD; Dermatologists; 1.0 star rating; 1 review; Upper East Side; 905 5th Avenue, New York, NY 10021; (212) 734-4007
William Spivak, MD; Gastroenterologist, Pediatricians; 3.5 star rating; 6 reviews; Yorkville, Upper East Side; 177 E 87th St, New York, NY 10128; (212) 369-7700
Family Foot Care Group; Podiatrists; 1.0 star rating; 3 reviews; Yorkville, Upper East Side; 1588 3rd Ave, New York, NY 10128; (212) 410-9666
Rauch Barbara R, LCSW; Counseling & Mental Health; 0; 0; Upper East Side; 125 E 84th St, New York, NY 10028; (212) 744-1416
Joan Li, MD PC; Ophthalmologists; 2.5 star rating; 3 reviews; Downtown Flushing, Flushing; 13527 38th Ave, Flushing, NY 11354; (718) 445-9088
Yu Yong, MD PC; Doctors; 2.5 star rating; 3 reviews; Downtown Flushing, Flushing; 4160 Main St, Flushing, NY 11355; (718) 886-6995
Cui Jian, MD PC; Dermatologists; 1.0 star rating; 6 reviews; Downtown Flushing, Flushing; 13620 38th Ave, Flushing, NY 11354; (718) 661-9554
Affinity Health Plan; Health & Medical, Community Service/Non-Profit, Insurance; 1.0 star rating; 1 review; Downtown Flushing, Flushing; 4146 Main Street, Flushing, NY 11355; (718) 886-2742
Boys Club of N Y Flushing Clubhouse Dental; null; 0; 0; Downtown Flushing, Flushing; 13301 41st Road, Flushing, NY 11355; (718) 886-5454
Korean Medical Clinic Center; null; 0; 0; Downtown Flushing, Flushing; 4176 Parsons Boulevard, Flushing, NY 11355; (718) 961-9300
Laboratories Management; null; 0; 0; Downtown Flushing, Flushing; 4004 Bowne St, Flushing, NY 11354; (718) 461-0455
Xeron Clinic Laboratories; null; 0; 0; Downtown Flushing, Flushing; 13630 Maple Ave, Flushing, NY 11355; (718) 445-7485
Euro Laser; null; 0; 0; Downtown Flushing, Flushing; 14204 Bayside Ave Ste 10U, Flushing, NY 11354; (718) 357-0483
Tzu Chi Ehc Family; null; 0; 0; Downtown Flushing, Flushing; 4160 Main Street, Flushing, NY 11355; (718) 539-0830
Animal Clinic of Northern Blvd; Veterinarians; 1.0 star rating; 1 review; North Corona; 10215 Northern Blvd, Corona, NY 11368; (718) 806-1700
Jason Kim, DDS; General Dentistry; 5.0 star rating; 1 review; Flushing, Murray Hill; 144-48 Roosevelt Ave, Ste MD-B, Flushing, NY 11354; (718) 886-4545
Anna Kalliagas, LCSW-R; Counseling & Mental Health; 0; 0; Oakland Gardens; 210-15 Union Tpke, Bayside, NY 11364; (646) 741-4145
DOHMH Corona IDNYC Center; Public Services & Government; 3.0 star rating; 1 review; North Corona; 34-33 Junction Blvd Lower Level, Queens, NY 11372; (718) 476-7101
Di Blasi Ford; Auto Repair; 2.0 star rating; 13 reviews; North Corona; 11221 Northern Blvd, Corona, NY 11368; (718) 898-6100
Flushing Hospital Medical Center; Obstetricians & Gynecologists, Pediatricians; 2.0 star rating; 22 reviews; Flushing, Murray Hill; 4500 Parsons Blvd, Flushing, NY 11355; (718) 670-5000
Peace Alternative Medical; Acupuncture, Naturopathic/Holistic; 2.5 star rating; 3 reviews; Flushing, Murray Hill; 35-25 154 St, Flushing, NY 11357; (718) 359-0980
Danada; Skin Care, Medical Spas; 3.5 star rating; 2 reviews; Flushing, Murray Hill; 157-02 Northern Blvd, Queens, NY 11354; (917) 563-1003
Jae Hong Min, MD; Pediatricians; 0; 0; Flushing, Murray Hill; 34-09 Murray St, Queens, NY 11354; (718) 353-5300
Tri Star Pain; Doctors; 0; 0; Flushing, Murray Hill; 15609 Northern Blvd, Flushing, NY 11354; (718) 888-9900
Baarn Rehab and Pain; Physical Therapy, Chiropractors, Acupuncture; 0; 0; Flushing, Murray Hill; 34-09 Murray St, Queens, NY 11354; (718) 888-1704
Park Acupincture; Acupuncture; 0; 0; Flushing, Murray Hill; 3519 157th St, Flushing, NY 11354; (718) 353-0555
Preferred Dental Care; Orthodontists, General Dentistry, Cosmetic Dentists; 2.0 star rating; 14 reviews; Flushing, Murray Hill; 146-10 45th Avenue, Flushing, NY 11355; (718) 445-7600
Marc D Rosenberg,  LCSW; Counseling & Mental Health; 0; 0; Oakland Gardens; 7915 211th St, Oakland Gardens, NY 11364; (718) 464-8231
Ben-Levy Amir DDS; General Dentistry; 5.0 star rating; 5 reviews; Oakland Gardens; 21702 Union Tpke, Oakland Gardens, NY 11364; (718) 217-0822
Gavalas Nicholas, PHD; Counseling & Mental Health; 0; 0; Oakland Gardens; 21015 Union Tpke, Oakland Gardens, NY 11364; (718) 479-4488
Benedicto Milagros, MD; Obstetricians & Gynecologists; 5.0 star rating; 1 review; Flushing, Murray Hill; 4017 149th Pl, Flushing, NY 11354; (718) 939-4027
Psch Habilitation; null; 0; 0; Astoria; 2534 Steinway St, Astoria, NY 11103; (718) 777-5243
Acts Clinic Trials Consulting; null; 0; 0; Astoria; 2465 38th St Apt 4A, Astoria, NY 11103; (718) 833-0509
Psch Steinway Habilitation; null; 0; 0; Astoria; 2534 Steinway St, Astoria, NY 11103; (718) 204-5531
Alma Mesquita, FNP; Weight Loss Centers; 1.0 star rating; 4 reviews; Astoria; 2928 Ditmars Blvd, Astoria, NY 11105; (718) 545-1454
Mertsaris Nicola MD; Doctors; 1.0 star rating; 1 review; Astoria; 4016 31st Avenue, Astoria, NY 11103; (718) 626-7029
Fatima Pediatric Medical Care PC; Pediatricians, Family Practice, Internal Medicine; 3.5 star rating; 3 reviews; Astoria; 2552 Steinway St, Astoria, NY 11103; (718) 777-6695
Christoforatos Spiro DDS; General Dentistry; 3.5 star rating; 3 reviews; Astoria; 3179 30th Str, Astoria, NY 11106; (718) 274-2603
LaserKlinic; Medical Spas, Laser Hair Removal, Dermatologists; 1.0 star rating; 4 reviews; Astoria; 31-24 Steinway St, Queens, NY 11103; (718) 956-5600
Adam I Cohen DPT PC Physical Therapy & Sports Rehabilitation; Physical Therapy; 0; 0; Ozone Park; 131-24 Rockaway Blvd, South Ozone Park, NY 11420; (718) 659-7166
City Dental; General Dentistry; 0; 0; Ozone Park; 12508 Liberty Avenue, South Richmond Hill, NY 11419; (718) 738-1288
Park Health Center; Doctors; 1.0 star rating; 3 reviews; Ozone Park; 13124 Rockaway Boulevard, South Ozone Park, NY 11420; (718) 659-7166
Jhagroo George V, MD; Gastroenterologist; 1.5 star rating; 2 reviews; Ozone Park; 12506 Liberty Ave, South Richmond Hill, NY 11419; (718) 738-2614
Sandhya Nayak, MD; Obstetricians & Gynecologists; 1.0 star rating; 1 review; Ozone Park; 101-08 113th St, New York, NY 11419; (718) 285-9781
Queens Medical & Cardiology; Doctors; 0; 0; Queens Village; 21115 Jamaica Avenue, Queens Village, NY 11428; (718) 454-5700
LIJ Satellite Dialysis Facility; Dialysis Clinics; 0; 0; Queens Village; 220-22 Hillside Ave, Queens Village, NY 11427; (718) 975-1300
New York Hospital Queens; Hospitals; 3.5 star rating; 64 reviews; Queensborough Hill, Flushing; 5645 Main St, Flushing, NY 11355; (718) 670-1231
Complete Orthopedic Services; Orthotics, Prosthetics; 0; 0; Queensborough Hill, Flushing; 57-13 Main St, Flushing, NY 11355; (718) 321-0407
The Ny Hosp Med Ctr of Queens; Dialysis Clinics; 0; 0; Queensborough Hill, Flushing; 56-45 Main St, Flushing, NY 11355; (718) 670-1258
Forest Hills Hospital; Hospitals; 2.5 star rating; 35 reviews; Forest Hills; 102-01 66th Rd, Forest Hills, NY 11375; (718) 830-4200
Rothstein Robert, MD; Ophthalmologists; 4.5 star rating; 3 reviews; Forest Hills; 11045 Queens Blvd, Forest Hills, NY 11375; (718) 261-2727
Raveco Medical; Dermatologists, Obstetricians & Gynecologists; 3.0 star rating; 23 reviews; Forest Hills; 7010 Austin St, Forest Hills, NY 11375; (718) 268-7337
Horizon Dental Center; General Dentistry; 3.5 star rating; 10 reviews; Forest Hills; 10750 Queens Blvd, Forest Hills, NY 11375; (718) 793-1777
Queens Medical Imaging PC; Radiologists, Diagnostic Services; 3.0 star rating; 18 reviews; Forest Hills; 69-15 Austin St, Forest Hills, NY 11375; (718) 544-5100
Buck-Haskin Stephanie, MD; Obstetricians & Gynecologists; 3.0 star rating; 8 reviews; Forest Hills; 11247 Queens Blvd, Forest Hills, NY 11375; (718) 263-2986
Long Island Consultation Center; null; 1.0 star rating; 2 reviews; Forest Hills; 9729 64th Rd, Rego Park, NY 11374; (718) 896-3400
Queens Consultation Center; Medical Centers; 1.5 star rating; 11 reviews; Forest Hills; 95-20 63rd Rd, Rego Park, NY 11374; (718) 459-1225
Chu King Lee, MD; Family Practice; 2.0 star rating; 4 reviews; Forest Hills; 11045 Queens Blvd, Forest Hills, NY 11375; (718) 268-8339
Alina K Stanciu, MD; Ophthalmologists, Laser Eye Surgery/Lasik; 1.0 star rating; 5 reviews; Forest Hills; 7025 Yellowstone Blvd, Forest Hills, NY 11375; (718) 793-3937
Forest Hills Dermatology Group; Dermatologists; 4.0 star rating; 5 reviews; Rego Park; 103-11 68th Dr, New York, NY 11375; (718) 459-0900
Adirondack Oral & Maxillofacial Surgery; Oral Surgeons; 5.0 star rating; 3 reviews; Rego Park; 95-25 Queens Blvd, Rego Park, NY 11374; (718) 997-6300
New York OBGYN Associates; Obstetricians & Gynecologists, Medical Centers; 4.0 star rating; 1 review; Rego Park; 92-29 Queens Blvd, Queens, NY 11374; (718) 575-5500
Marina Neystat, MD; Neurologist; 0; 0; Forest Hills, Rego Park; 101-24 Queens Blvd, Ste A, Queens, NY 11375; (888) 273-3840
Rego Park Healthcare Alliance; Physical Therapy, Orthopedists, Chiropractors; 0; 0; Rego Park; 64-33 98th St, Rego Park, NY 11374; (718) 606-6000
Salil P Marfatia, MD PC; Gastroenterologist; 3.5 star rating; 3 reviews; Rego Park; 9229 Queens Blvd, New York, NY 11374; (718) 897-5700
Chinese Natural Health Care; Acupuncture; 0; 0; Rego Park; 6307 Dieterle Cres, Rego Park, NY 11374; (718) 897-8952
Rego Park Dental PC; General Dentistry; 3.5 star rating; 9 reviews; Rego Park; 9424 63rd Dr, Rego Park, NY 11374; (718) 275-4545
Nu Eyes; Eyewear & Opticians, Optometrists; 4.5 star rating; 59 reviews; Downtown Flushing, Flushing; 140-08 Sanford Ave, Flushing, NY 11355; (718) 353-3211
NYU Columbus Medical; Cardiologists; 2.5 star rating; 3 reviews; Rego Park; 9785 Queens Blvd, Rego Park, NY 11374; (718) 261-9100
Rego Park Orthodontics; Orthodontists; 5.0 star rating; 1 review; Rego Park; 98-41 Queens Blvd, Rego Park, NY 11374; (718) 275-2006
Accellent Dental; Dentists; 3.5 star rating; 10 reviews; Downtown Flushing, Flushing; 3907 Prince St, Flushing, NY 11354; (718) 463-5268
Charles B Wang - Community Health Center; Home Health Care; 4.5 star rating; 6 reviews; Downtown Flushing, Flushing; 13626 37th Ave, Flushing, NY 11354; (718) 886-1200
Huang Anderson T, DDS; Orthodontists; 1.5 star rating; 3 reviews; Downtown Flushing, Flushing; 42-31 Colden St, Flushing, NY 11355; (718) 461-4435
Danada; Skin Care, Medical Spas; 3.5 star rating; 2 reviews; Flushing, Murray Hill; 157-02 Northern Blvd, Queens, NY 11354; (917) 563-1003
Essential Dental Empire; General Dentistry, Cosmetic Dentists; 3.0 star rating; 4 reviews; Downtown Flushing, Flushing; 136-81 Roosevelt Ave, Flushing, NY 11354; (718) 353-4777
OT Access; Occupational Therapy, Physical Therapy, Massage Therapy; 0; 0; Flushing, Hillcrest; 16040 78th Rd Suite 101, Fresh Meadows, NY 11366; (718) 380-4278
Landor Michael, MD; Doctors; 5.0 star rating; 1 review; Kew Gardens Hills, Flushing; 6920 Main St, Flushing, NY 11367; (718) 793-9020
Dynamic Physical Therapy; Physical Therapy; 0; 0; Downtown Flushing, Flushing; 43-43 Kissena Blvd, Flushing, NY 11355; (646) 604-9762
Jae Hong Min, MD; Pediatricians; 0; 0; Flushing, Murray Hill; 34-09 Murray St, Queens, NY 11354; (718) 353-5300
Queens Dialysis At South Flushing; Dialysis Clinics; 0; 0; Flushing, Pomonok; 15910 71st Avenue Apt 6D, Fresh Meadows, NY 11365; (718) 591-4010
Garden Ob/Gyn at Fresh Meadows; Obstetricians & Gynecologists; 1.5 star rating; 36 reviews; Flushing, Pomonok; 163-03 Horace Harding Expy, Queens, NY 11365; (718) 464-3000
Jessica Wong; Acupuncture; 0; 0; Midtown West; 119 W 57th St, New York, NY 10019; (212) 974-2880
Alexander Fish, DPM; Podiatrists, Sports Medicine; 0; 0; Theater District, Midtown West; 825 7th Ave, New York, NY 10019; (212) 757-7437
West Park Medical Group; Internal Medicine, Pediatricians; 3.5 star rating; 41 reviews; Midtown West; 200 W 57th St, New York, NY 10019; (212) 247-8100
34th Street Dental; General Dentistry, Periodontists, Cosmetic Dentists; 3.5 star rating; 26 reviews; Midtown West; 225 W 35th St, New York, NY 10001; (212) 564-8164
Schloss Steven, DDS; General Dentistry; 4.0 star rating; 25 reviews; Midtown West; 250 W 57th St, New York, NY 10001; (212) 247-6858
Fluid Movement NYC; Physical Therapy; 5.0 star rating; 8 reviews; Midtown West; 1350 Avenue of the Americas, Brooklyn, NY 10019; (212) 641-0108
Central Park Dental Spa; General Dentistry; 3.5 star rating; 19 reviews; Midtown West; 30 Central Park South, New York, NY 10019; (212) 753-1119
