1 Barker Little Learning Tree; Preschools, Child Care & Day Care; 0; 0; Port Richmond; 1 Barker St, Staten Island, NY 10310; (855) 334-8631 
Parson’s Pre School; Elementary Schools, Preschools, Middle Schools & High Schools; 0; 0; Jamaica; 8460 Parsons Boulevard, Jamaica, NY 11432; (718) 298-6161 
Pee Wee Folks Preschool After School Center; Child Care & Day Care; 4.0 star rating; 1 review; Beechurst; 1245 Clintonville Street, Whitestone, NY 11357; (718) 746-6107 
Peek-A-Boo Daycare; Preschools, Child Care & Day Care; 0; 0; Parkchester; 2090 E Tremont Ave, Bronx, NY 10460; (347) 376-4834 
Peek-A-Boo Learning Center; Elementary Schools, Preschools, Child Care & Day Care; 2.5 star rating; 2 reviews; Elmhurst; 7502 51st Ave, Elmhurst, NY 11373; (718) 899-1532 
Perfect Angels Child Care Inc; Preschools, Child Care & Day Care; 0; 0; Astoria; 25-36 42nd St, Astoria, NY 11103; (718) 305-0673 
Perry School NYC; Preschools; 5.0 star rating; 1 review; West Village; 55 Bethune St, New York, NY 10014; (212) 255-1685 
Peter Pan & Wendy Daycare; Preschools; 5.0 star rating; 8 reviews; South Slope; 289 21st St, Brooklyn, NY 11215; (347) 409-4443 
Petite Smile Daycare Inc.; Preschools, Child Care & Day Care; 0; 0; Washington Heights; 69 Bennett Ave, New York, NY 10033; (917) 434-1092 
Phebeana Pre-School; Elementary Schools, Preschools, Middle Schools & High Schools; 0; 0; Flatbush; 160 Parkside Avenue, Brooklyn, NY 11226; (718) 284-8147 
Phipps Community Development Corporation; Elementary Schools, Preschools; 0; 0; East Tremont; 1005 E 179th St Ofc, Bronx, NY 10460; (718) 842-3633 
Pine Street School; Preschools, Elementary Schools; 0; 0; Financial District; 25 Pine St, New York, NY 10005; (212) 235-2300 
Play & Learn Center; Child Care & Day Care, Preschools; 4.0 star rating; 2 reviews; Middle Village; 6606 70th St, Middle Village, NY 11379; (718) 894-0016 
Play Together NYC; Preschools; 5.0 star rating; 4 reviews; Upper West Side; 270 W 84th St, New York, NY 10024; (917) 842-2779 
Play; Summer Camps, Preschools, Party & Event Planning; 4.0 star rating; 24 reviews; Greenpoint; 33 Nassau Avenue, Brooklyn, NY 11222; (718) 387-2071 
Playgarden; Child Care & Day Care, Preschools; 4.5 star rating; 3 reviews; TriBeCa; 95 Franklin St, Manhattan, NY 10013; (212) 965-9717 
Plymouth Church School; Preschools; 0; 0; Brooklyn Heights; 75 Hicks St, Brooklyn, NY 11201; (718) 624-9385 
Polish American Family Group Day Care; Child Care & Day Care, Preschools; 0; 0; Greenpoint; 137 Meserole Ave, Brooklyn, NY 11222; (718) 389-6049 
Pono; Preschools; 0; 0; East Harlem; 2002 5th Ave, Manhattan, NY 10027; (646) 490-8517 
Poppyseed Pre-Nursery; Preschools; 0; 0; Upper West Side; 424 W End Ave, New York, NY 10024; (212) 877-7614 
Positive Beginnings Preschool; Child Care & Day Care, Preschools; 1.0 star rating; 1 review; Middle Village; 7252 Metropolitan Ave, Middle Village, NY 11379; (718) 326-0055 
Precious Minds Learning Play House; Preschools, Child Care & Day Care; 0; 0; Elm Park; 175 Trantor Pl, Staten Island, NY 10302; (917) 678-4006 
Precious Pee Wees; Preschools; 0; 0; College Point; 22-01 123 St, College Point, NY 11356; (917) 856-2095 
Preschool Of America; Preschools; 2.0 star rating; 1 review; Upper West Side; 101 West End Avenue, New York, NY 10023; (212) 362-0135 
Preschool Of America; Preschools; 3.0 star rating; 6 reviews; Flushing, Utopia, Fresh Meadows; 18601 73rd Ave, Fresh Meadows, NY 11366; (718) 380-2066 
Preschool Studio; Preschools, Child Care & Day Care; 0; 0; Midtown East; New York, NY 10022; (646) 389-4130 
Preschool of America; Child Care & Day Care, Preschools, Summer Camps; 0; 0; East Harlem; 1501 Lexington Ave, New York, NY 10029; (212) 987-3700 
Preschool of America; Child Care & Day Care, Preschools; 4.0 star rating; 1 review; Lower East Side, Chinatown; 39 Eldridge St, New York, NY 10002; (212) 925-0998 
Preschool of America; Preschools; 0; 0; Midtown East, Murray Hill; 25 Tudor City Pl, New York, NY 10017; (212) 681-4671 
Preschool of America; Preschools; 2.0 star rating; 7 reviews; Flatiron; 600 Avenue of the Americas, New York, NY 10011; (212) 255-6911 
Preschool of America; Preschools; 3.5 star rating; 5 reviews; Upper East Side; 1190 Park Ave, New York, NY 10028; (212) 410-1100 
Preschool of America; Preschools; 4.0 star rating; 2 reviews; Elmhurst; 83-38 Cornish Ave, Elmhurst, NY 11373; (718) 458-9656 
Preschool of America; Preschools; 4.0 star rating; 5 reviews; Upper West Side; 101 W End Ave, New York, NY 10023; (212) 362-0135 
Preschool of America; Preschools; 4.0 star rating; 7 reviews; Forest Hills; 112-33 Queens Blvd, Queens, NY 11375; (718) 261-2522 
Preschool of America; Preschools; 5.0 star rating; 3 reviews; Dyker Heights, Borough Park; 859 60th St, Sunset Park, NY 11220; (718) 686-8335 
Preschool of the Arts at Cooper Square; Preschools, Specialty Schools; 0; 0; East Village; 51 Cooper Square, New York, NY 10003; (212) 533-1822 
Preschool of the Arts at Flatiron/Chelsea; Preschools, Art Schools; 0; 0; Chelsea; 121 West 19th St., New York, NY 10011; (212) 229-9075 
Preschool of the Arts; Preschools; 0; 0; Chelsea; 199 W 19th St, Manhattan, NY 10011; (212) 206-9221 
Professional Childrens School; Elementary Schools, Preschools, Middle Schools & High Schools; 5.0 star rating; 1 review; Upper West Side; 132 W 60th Street, New York, NY 10023; (212) 582-3116 
Prospect Group Family Day Care; Child Care & Day Care; 4.5 star rating; 3 reviews; Prospect Heights; 724 Bergen St, Brooklyn, NY 11238; (646) 854-6792 
Prospect Kids Academy; Child Care & Day Care, Preschools; 0; 0; South Slope; 341 Prospect Ave, Brooklyn, NY 11215; (718) 788-7727 
Prospect Kids Academy; Child Care & Day Care; 5.0 star rating; 1 review; Crown Heights; 532 St. Johns Pl, Brooklyn, NY 11238; (718) 638-9300 
Prospect Park Zoo; Zoos; 4.0 star rating; 112 reviews; Prospect Park; 450 Flatbush Ave, Brooklyn, NY 11225; (718) 399-7339 
Public School 197; Elementary Schools, Preschools; 0; 0; Harlem; 1599 E 22nd St, Brooklyn, NY 11210; (718) 377-7890 
Purple Circle; Child Care & Day Care, Preschools; 5.0 star rating; 4 reviews; Manhattan Valley; 251 W 100th St, New York, NY 10025; (212) 866-9193 
Push My Swing; Child Care & Day Care, Preschools; 0; 0; Kips Bay; 148 E 28th St, New York, NY 10016; (212) 889-5791 
Pushkin Academy of Russian Heritage; Preschools; 5.0 star rating; 1 review; Yorkville, Upper East Side; 236 E 75th St, New York, NY 10021; (917) 699-6278 
Pusteblume International Preschool; Preschools; 5.0 star rating; 4 reviews; West Village; 244 W 14th St, New York, NY 10011; (212) 206-1137 
QSAC School; Elementary Schools, Middle Schools & High Schools, Preschools; 0; 0; Beechurst; 1210 150th St, Whitestone, NY 11357; (718) 747-0136 
Queensbridge Early Childhood Development Center; Preschools, Specialty Schools; 5.0 star rating; 1 review; Long Island City; 38-11 27th St, Long Island City, NY 11101; (718) 937-7640 
Queensview Nursery School & Kindergarten; Child Care & Day Care, Preschools; 4.0 star rating; 1 review; Astoria; 2136 33rd Rd, Astoria, NY 11106; (718) 728-4164 
Quick Start Day Care Center; Elementary Schools, Preschools, Middle Schools & High Schools; 0; 0; Jamaica; 18833 Linden Boulevard, Saint Albans, NY 11412; (718) 978-0800 
Quo Jadis Montessori Day Care Center; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Washington Heights; 4111 Broadway, New York, NY 10033; (212) 568-6554 
Rabbinical Committee of Brownstone Brooklyn; Elementary Schools, Preschools; 0; 0; Park Slope; 70 Prospect Park W, Brooklyn, NY 11215; (718) 499-0836 
Rainbow Learning Center; Child Care & Day Care, Preschools; 0; 0; Marine Park; 3846 Flatlands Ave, Brooklyn, NY 11234; (718) 377-2918 
Rainbow Palace; Child Care & Day Care, Preschools; 5.0 star rating; 1 review; Throgs Neck; 3054 Harding Ave, Bronx, NY 10465; (718) 822-2324 
Rainbow Room Day Care; Child Care & Day Care, Preschools; 0; 0; Schuylerville; 3014 Barkley Ave, Throggs Neck, NY 10465; (347) 293-8035 
Rainbow Room Daycare; Child Care & Day Care, Preschools; 5.0 star rating; 1 review; Washington Heights; 20 Colonel Robert Magaw, New York, NY 10033; (212) 928-6636 
Rainbow child learning; Preschools; 0; 0; Downtown Flushing, Flushing; 133-20 Avery Ave, Flushing, NY 11355; (718) 496-5513 
Rainbowland Nursery School; Child Care & Day Care, Preschools, Elementary Schools, Middle Schools & High Schools; 0; 0; Jackson Heights; 3311 77th Street, Jackson Heights, NY 11372; (718) 803-1728 
Rainbowland Nursery School; Child Care & Day Care, Preschools; 4.0 star rating; 1 review; Woodside; 3960 54th St, Woodside, NY 11377; (718) 899-7590 
Reade Street Prep; Preschools, Educational Services; 0; 0; TriBeCa, Civic Center; 77 Reade St, New York, NY 10007; (212) 513-7735 
Reade Street Prep; Preschools; 0; 0; TriBeCa; 104 Reade St, Manhattan, NY 10013; (212) 346-7737 
ReadingEggs; Preschools; 0; 0; Flatiron; 37 W 27th St, Manhattan, NY 10001; (877) 661-4898 
Red Apple Child Development Center; Preschools, Child Care & Day Care; 2.5 star rating; 4 reviews; Two Bridges; 25 Market St, Manhattan, NY 10002; (212) 577-2710 
Red Apple Daycare; Preschools, Child Care & Day Care; 0; 0; Elmhurst; 8308 Broadway, Flushing, NY 11373; (718) 507-1687 
Red Balloon Day Care Center; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Harlem; 560 Riverside Drive, New York, NY 10027; (212) 663-9006 
Regent School; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Williamsbridge; 719 E 216th St, Bronx, NY 10467; (718) 653-2900 
Rego Park Nursery & Kindergarten; Child Care & Day Care, Preschools; 4.0 star rating; 4 reviews; Rego Park; 6344 Wetherole St, Rego Park, NY 11374; (718) 897-0693 
Reishis Chochma Preschool; Elementary Schools, Preschools; 0; 0; Far Rockaway; 1525 Central Ave, Far Rockaway, NY 11691; (718) 327-0125 
Rena Day Care Centers Inc; Child Care & Day Care, Preschools; 4.0 star rating; 1 review; Washington Heights; 639 Edgecombe Ave, New York, NY 10032; (212) 795-4444 
Renanim At Riverdale Preschool & Summer Camp; Post Offices, Elementary Schools; 4.0 star rating; 1 review; Spuyten Duyvil; 2975 Independence Avenue, Bronx, NY 10463; (718) 601-1300 
Renanim Preschool and Summer Camp; Child Care & Day Care, Preschools, Day Camps; 0; 0; Spuyten Duyvil; 2975 Independence Ave, Riverdale, NY 10463; (718) 601-1300 
Renanim Preschool and Summer Camp; Child Care & Day Care, Preschools, Summer Camps; 2.5 star rating; 3 reviews; Upper East Side; 336 E 61st St, New York, NY 10065; (646) 685-4922 
Renanim Preschool and Summer Camp; Preschools, Child Care & Day Care, Summer Camps; 0; 0; Briarwood; 141-29 84th Dr, Briarwood, NY 11435; (929) 900-5887 
Resurrection Episcopal Day School; Preschools, Elementary Schools, Religious Organizations; 0; 0; Upper East Side; 119 E 74th Street, New York, NY 10021; (212) 535-9666 
Rhinelander Children’s Center; Preschools; 0; 0; Yorkville, Upper East Side; 350 E 88th St, New York, NY 10128; (212) 876-0500 
Rich Haven Day Care; Preschools, Child Care & Day Care; 0; 0; Richmond Hill; 104-20 89th Ave, Richmond Hill, NY 11418; (718) 441-6083 
Richmond Hill Children’s Center; Child Care & Day Care, Preschools; 5.0 star rating; 3 reviews; Heartland Village; 501 Richmond Hill Rd, Staten Island, NY 10314; (718) 494-7422 
Richmondtown Children’s Pre-School; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Richmond Town; 3435 Richmond Rd, Staten Island, NY 10306; (718) 987-7623 
Rise and Shine of Forest Hills; Preschools; 5.0 star rating; 1 review; Forest Hills; 68-38 Yellowstone Blvd, Forest Hills, NY 11375; (347) 949-4296 
Rivendell School; Elementary Schools, Preschools; 0; 0; Gowanus; 277 3rd Ave, Brooklyn, NY 11215; (718) 499-5667 
River School; Child Care & Day Care, Preschools, Elementary Schools; 3.0 star rating; 2 reviews; Upper West Side; 75 W End Avenue, New York, NY 10023; (212) 707-8300 
River-Park Nursery School; Elementary Schools, Preschools; 4.0 star rating; 4 reviews; Upper West Side; 711 Amsterdam Avenue, New York, NY 10025; (212) 663-1205 
Riverdale Montessori School; Child Care & Day Care, Elementary Schools, Preschools; 2.5 star rating; 2 reviews; North Riverdale; 5720 Mosholu Avenue, Bronx, NY 10471; (718) 543-4884 
Riverdale Montessori School; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Bedford Park; 2610 Grand Avenue, Bronx, NY 10468; (718) 561-8111 
Riverdale Nursery School & Family Center; Preschools, Child Care & Day Care; 0; 0; Kingsbridge; 3816 Waldo Ave, Bronx, NY 10463; (718) 884-3950 
Riverside Early Learning Ctr; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Upper West Side; 202 Riverside Drive Apt 1G, New York, NY 10025; (212) 665-1600 
Riverside Montessori School; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Upper West Side; 202 Riverside Drive, New York, NY 10025; (212) 665-1600 
Rodeph Sholom School; Preschools, Elementary Schools; 0; 0; Upper West Side; 10 W 84th St, New York, NY 10024; (646) 438-8500 
Rodeph Sholom School; Preschools; 0; 0; Upper West Side; 10 W 84 St, New York, NY 10024; (646) 438-8500 
Roots & Wings; Child Care & Day Care, Preschools; 0; 0; Park Slope; 97 Lincoln Place, Brooklyn, NY 11217; (718) 638-6381 
Rory’s Room; Elementary Schools, Preschools; 3.5 star rating; 3 reviews; Windsor Terrace, Flatbush; 3003 Fort Hamilton Pkwy, Brooklyn, NY 11218; (718) 435-4950 
Rose Day Care; Child Care & Day Care, Nanny Services, Preschools; 0; 0; Clifton; 303 Tompkins Ave, Clifton, NY 10304; (718) 876-6747 
Rosedale Christian academy; Preschools, Elementary Schools, Middle Schools & High Schools; 0; 0; Rosedale; 247-11 Francis Lewis Blvd, Rosedale, NY 11422; (718) 978-3996 
Ruth Summer Keller; Elementary Schools; 5.0 star rating; 1 review; Upper West Side; 245 W 74th St, New York, NY 10023; (212) 769-1088 
SFX Early Childhood Center; Preschools, Child Care & Day Care; 0; 0; Park Slope; 763 President St, Brooklyn, NY 11215; (718) 857-2559 
Sackler Lefcourt Center For Child Development; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Upper East Side; 17 E 62nd Street, New York, NY 10021; (212) 759-4022 
Samuel Field Y; Child Care & Day Care, Community Service/Non-Profit, Preschools; 1.0 star rating; 1 review; Douglaston; 5820 Little Neck Pkwy, Little Neck, NY 11362; (718) 225-6750 
San Jose Day Nursery; Child Care & Day Care, Elementary Schools, Preschools; 4.5 star rating; 6 reviews; Chelsea; 432 W 20th Street, New York, NY 10011; (212) 929-0839 
Sandra’s Sunflower Child Care Inc.; Child Care & Day Care; 0; 0; Rochdale; 12117 Sutphin Blvd, Jamaica, NY 11434; (718) 848-1352 
Sarah Curry Preschool; Preschools; 5.0 star rating; 1 review; East Village; 93 Saint  Mark's Pl, New York, NY 10009; (212) 777-9774 
Secret Garden Preschool; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Chelsea; 422 W 20th Street, New York, NY 10011; (212) 627-7275 
Seedlings Academic Playschool; Preschools; 5.0 star rating; 6 reviews; Brooklyn Heights; 42 Henry St, Brooklyn, NY 11201; (718) 222-1849 
Seeds of Unity Daycare Center; Preschools, Child Care & Day Care; 0; 0; Borough Park; 5816 13th Ave, New York, NY 11219; (347) 715-6546 
Serena Serenity Daycare; Preschools; 0; 0; Lindenwood; 158-11 98th St, Howard Beach, NY 11414; (347) 386-0356 
Sesame Sprout Academy & Infant Care; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; LeFrak City; 9608 57th Avenue, Corona, NY 11368; (718) 271-2294 
Seton Day Care & Pre-school; Child Care & Day Care, Preschools; 1.0 star rating; 1 review; Yorkville, Upper East Side; 245 E 92 St, New York, NY 10128; (212) 369-9626 
Seventh Avenue Center For Family Services; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Harlem; 711 Lenox Avenue, New York, NY 10039; (212) 862-0600 
Shining Stars Preschool Corporation; Child Care & Day Care, Education; 0; 0; Van Nest; 1881 Bronxdale Avenue, Bronx, NY 10462; (718) 409-1316 
Silver Lake Head Start; Elementary Schools, Preschools; 0; 0; West Brighton; 10 Gregg Place, Staten Island, NY 10301; (718) 815-4488 
Sleepy Hollow Preschool; Elementary Schools, Preschools; 0; 0; Union Square, Gramercy, Flatiron; 40 Irving Pl, New York, NY 10003; (212) 475-7190 
Small Wonder Learning; Elementary Schools, Preschools; 0; 0; West Farms; 1661 Unionport Rd, Bronx, NY 10462; (718) 684-2456 
Small World Preschool; Child Care & Day Care, Elementary Schools, Preschools; 4.0 star rating; 4 reviews; Pleasant Plains; 144 Bloomingdale Road, Staten Island, NY 10309; (718) 356-7795 
Small World Preschool; Preschools, Specialty Schools; 5.0 star rating; 1 review; Upper West Side; 150 W 83rd St, Manhattan, NY 10024; (646) 319-1410 
Smarter Toddler Nursery & Preschool; Child Care & Day Care, Preschools; 0; 0; Upper West Side; 100A West 89th St, New York, NY 10024; (212) 721-4964 
Smarter Toddler Nursery & Preschool; Child Care & Day Care, Preschools; 5.0 star rating; 1 review; Hell's Kitchen, Midtown West; 400 W 55th St, New York, NY 10019; (212) 757-2145 
Smiles Around US 2; Elementary Schools, Preschools; 0; 0; Arrochar; 351 Sand Lane, Staten Island, NY 10305; (718) 390-0070 
Sound Dale Day Care Center; Preschools; 3.0 star rating; 1 review; Soundview; 1211 Croes Ave, Bronx, NY 10472; (718) 378-0400 
Spanish For Children; Elementary Schools, Preschools; 0; 0; Upper East Side; 888 Lexington Ave Fl 2, New York, NY 10021; (212) 396-1369 
Spuyten Duyvil Preschool; Child Care & Day Care; 0; 0; Kingsbridge; 3041 Kingsbridge Avenue, Bronx, NY 10463; (718) 549-1525 
St Angela Hall Academy; Preschools; 5.0 star rating; 2 reviews; Clinton Hill; 290 Washington Ave, Brooklyn, NY 11205; (718) 622-6919 
St Ann School; Preschools, Middle Schools & High Schools, Elementary Schools; 0; 0; Dongan Hills; 125 Cromwell Ave, Staten Island, NY 10304; (718) 351-4343 
St Ignatius Day Nursery; Elementary Schools, Preschools, Middle Schools & High Schools; 0; 0; Yorkville, Upper East Side; 240 E 84th Street, New York, NY 10028; (212) 734-6427 
St John’s Lutheran School; Child Care & Day Care, Preschools, Elementary Schools, Religious Organizations; 0; 0; College Point; 12307 22nd Avenue, College Point, NY 11356; (718) 463-4790 
St Luke’s Parochial Schl; Elementary Schools, Middle Schools & High Schools, Religious Organizations; 1.0 star rating; 2 reviews; Whitestone; 1601 150th Place, Whitestone, NY 11357; (718) 746-3833 
St Mark the Evangelist Pre School; Elementary Schools, Preschools; 0; 0; Harlem; 67 W 138th Street, New York, NY 10037; (212) 281-6270 
St Mary Gate of Heaven Children’s Hour School; Elementary Schools, Middle Schools & High Schools; 1.0 star rating; 1 review; Ozone Park; 10312 101st Avenue, Ozone Park, NY 11416; (718) 846-3773 
St Mary Mother of Jesus Preschool; Child Care & Day Care; 5.0 star rating; 1 review; Bensonhurst; 8401 23rd Ave, Brooklyn, NY 11214; (718) 265-6498 
St Saviour Catholic Academy; Elementary Schools, Middle Schools & High Schools, Preschools; 4.5 star rating; 2 reviews; Park Slope; 701 8th Ave, Brooklyn, NY 11215; (718) 768-8000 
St. Joseph the Worker Catholic Academy; Preschools, Elementary Schools, Middle Schools & High Schools; 2.5 star rating; 3 reviews; Windsor Terrace; 241 Prospect Park W, New York, NY 11215; (718) 728-0724 
Stanley H Kaplan Nursery School; Child Care & Day Care, Preschools; 0; 0; Midtown East; 225 E 51st St, New York, NY 10022; (212) 826-6204 
Stanley S Lamm Preschool; Child Care & Day Care; 3.0 star rating; 1 review; Windsor Terrace; 500 19th St, Brooklyn, NY 11215; (718) 237-8833 
Star America; Preschools; 3.5 star rating; 3 reviews; Theater District, Hell's Kitchen, Midtown West; 780 8th Ave, New York, NY 10036; (212) 262-4896 
Star Paradise Inc; Child Care & Day Care; 2.5 star rating; 3 reviews; Elmhurst; 8655 Broadway, Elmhurst, NY 11373; (718) 255-1899 
Star Preschool & Daycare Center; Child Care & Day Care; 0; 0; Mariner; 275 Walker St, Staten Island, NY 10303; (718) 556-2420 
Starrett Early Learning Center; Elementary Schools, Preschools; 0; 0; Starret City; 125 Schroeders Avenue, Brooklyn, NY 11239; (718) 642-8724 
Staten Island Mental Health Society; Elementary Schools, Preschools; 0; 0; West Brighton; 669 Castleton Avenue, Staten Island, NY 10301; (718) 442-5749 
Staten Island Mental Health Society; Elementary Schools, Preschools; 0; 0; Westerleigh; 14 Slosson Ave, Staten Island, NY 10314; (718) 720-6727 
Stepping Stone Pre & Grade School; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Jamaica; 11428 Francis Lewis Blvd, Cambria Heights, NY 11411; (718) 465-2344 
Stepping Stones Preschool; Child Care & Day Care; 0; 0; Annadale; 5394 Amboy Road, Staten Island, NY 10312; (718) 608-0501 
Steppingstone Day School; Preschools; 4.5 star rating; 2 reviews; Kew Gardens Hills, Flushing; 7740 Vleigh Place, Flushing, NY 11367; (718) 591-9093 
Steps to Success; Preschools; 0; 0; Brownsville; 11 New Lots Ave, Brooklyn, NY 11212; (718) 345-3555 
Sunflower Kidz Daycare; Preschools; 4.0 star rating; 4 reviews; North Corona; 100-17 32 Ave, East Elmhurst, NY 11369; (347) 709-7793 
Sunny Skies Preschool; Preschools, Child Care & Day Care; 0; 0; Prospect Heights; 720 Washington Ave, New York, NY 11238; (718) 372-4665 
Sunny Skies Preschool; Preschools; 0; 0; Borough Park; 4228 10th Avenue, Brooklyn, NY 11219; (718) 438-7040 
Sunny Skies Preschool; Preschools; 5.0 star rating; 1 review; Borough Park; 4228 10th Ave, Brooklyn, NY 11219; (718) 438-7040 
Sunny Skies Preschool; Preschools; 5.0 star rating; 1 review; Lower East Side; 112 Ridge St, New York, NY 10002; (646) 389-4338 
Sunset Park Children’s School; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Sunset Park; 4616 4th Ave, Brooklyn, NY 11220; (718) 439-3323 
Sunset Park Playhouse; Preschools, Child Care & Day Care; 5.0 star rating; 7 reviews; Sunset Park; 353 61st St, Brooklyn, NY 11220; (718) 439-5915 
Sunshine Center of Coney Island LLC; Child Care & Day Care, Preschools; 0; 0; Coney Island; 2929 W 31st St, Coney Island, NY 11224; (718) 996-7200 
Sunshine Daycare of East Harlem LLC; Child Care & Day Care, Preschools; 1.0 star rating; 1 review; Harlem, East Harlem; 1330 5th Ave, New York, NY 10026; (212) 444-1177 
Sunshine Daycare of Westchester Village LLC; Child Care & Day Care, Preschools; 0; 0; Westchester Square; 1564 St Peters Ave, Bronx, NY 10461; (718) 989-9801 
Sunshine Learning Center; Child Care & Day Care, Preschools; 0; 0; Mott Haven; 416 Willis Ave, Bronx, NY 10454; (718) 989-9804 
Sunshine School; Preschools; 0; 0; Jamaica; 91-10 146th St, Jamaica, NY 11435; (718) 468-9000 
Superior Daycare Center; Child Care & Day Care; 0; 0; Highland Park, Ocean Hill, Bushwick; 1741 Broadway, Brooklyn, NY 11207; (718) 975-4904 
Susan E Wagner Day School At Riverdale; Child Care & Day Care, Preschools; 0; 0; North Riverdale; 5401 Post Rd, Bronx, NY 10471; (718) 601-5401 
Sweet Angels Nursery School; Preschools, Child Care & Day Care; 0; 0; Flushing, Auburndale; 27-11 Bayside Ln, Flushing, NY 11358; (718) 445-7305 
Sweet Dreams Group Day Care; Child Care & Day Care, Preschools; 1.0 star rating; 1 review; Sunset Park; 361 49th St, Brooklyn, NY 11220; (718) 567-9338 
Sweet time daycare; Preschools; 0; 0; Glendale; 67 Pl, Glendale, NY 11385; (347) 294-5310 
Taft Day Care Center; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; East Harlem; 1726 Madison Avenue, New York, NY 10029; (212) 831-0556 
Talent Prep; Preschools, Test Preparation, Tutoring Centers; 5.0 star rating; 5 reviews; Chelsea; 155 E Broadway St, Manhattan, NY 10002; (347) 699-6895 
Talented Little Children Day Care & Preschool; Child Care & Day Care; 0; 0; Ozone Park; 10418 134th St, South Richmond Hill, NY 11419; (718) 577-2232 
Tasa Center; Preschools; 0; 0; Windsor Terrace, South Slope; 276 Prospect Park W, Brooklyn, NY 11215; (855) 669-8272 
Taught By An Angel Preschool And Daycare; Child Care & Day Care; 0; 0; Norwood; 3083 Decatur Ave, Bronx, NY 10467; (718) 676-5140 
TeacherCare; Preschools, Child Care & Day Care; 0; 0; Midtown East, Murray Hill; 100 Park Ave, New York, NY 10017; (888) 832-2407 
The Academy of St. Joseph; Preschools, Elementary Schools; 0; 0; West Village; 111 Washington Pl, New York, NY 10014; (212) 243-5420 
The Baby Play Place Preschool & Daycare; Child Care & Day Care; 0; 0; East Williamsburg; 67 Manhattan Ave, Brooklyn, NY 11206; (718) 384-1638 
The Baby Play Place; Child Care & Day Care, Preschools; 0; 0; East Williamsburg; 67 Manhattan Ave Ste 5S, Brooklyn, NY 11206; (718) 384-1638 
The Bay Ridge Play Place; Child Care & Day Care, Preschools, Elementary Schools; 1.0 star rating; 1 review; Fort Hamilton, Bay Ridge; 345 91st St, Brooklyn, NY 11209; (718) 921-3959 
The Brooklyn Waldorf School; Elementary Schools, Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Bedford Stuyvesant, Clinton Hill; 1-11 Jefferson Ave, Brooklyn, NY 11238; (718) 783-3270 
The Caedmon School; Preschools, Elementary Schools; 5.0 star rating; 1 review; Yorkville, Upper East Side; 416 E 80th St, New York, NY 10075; (212) 879-2296 
The Center For Preschool & Family Learning Headstart; Elementary Schools, Preschools; 0; 0; Harlem; 1854 Amsterdam Avenue, New York, NY 10031; (212) 694-1740 
The Chapin School; Elementary Schools, Middle Schools & High Schools, Preschools; 5.0 star rating; 1 review; Yorkville, Upper East Side; 100 E End Ave, New York, NY 10028; (212) 744-2335 
The Childrens Storefront; Elementary Schools, Preschools, Middle Schools & High Schools; 0; 0; East Harlem; 70 E 129th Street, New York, NY 10035; (212) 289-2286 
The Co-op School; Elementary Schools, Preschools; 0; 0; Bedford Stuyvesant, Clinton Hill; 87 Irving Pl, Brooklyn, NY 11238; (347) 721-3408 
The Corner School Nursery & Pre-Kindergarten; Child Care & Day Care, Community Service/Non-Profit, Specialty Schools; 5.0 star rating; 2 reviews; Flushing; 15003 Bayside Ave, Flushing, NY 11354; (718) 445-2811 
The Day School; Preschools; 0; 0; Upper East Side; 11 E 89th St, New York, NY 10128; (212) 369-8698 
The Diller Quaile School of Music, Inc; Art Schools, Preschools, Performing Arts; 5.0 star rating; 1 review; Upper East Side; 24 E 95th St, New York, NY 10128; (212) 369-1484 
The Downtown Little School; Child Care & Day Care, Elementary Schools, Preschools; 5.0 star rating; 1 review; Financial District; 15 Dutch Street, New York, NY 10038; (212) 791-1300 
The First Presbyterian Church Nursery School; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Greenwich Village; 12 W 12th Street, New York, NY 10011; (212) 691-3432 
The Flourishing Preschool; Preschools; 0; 0; Red Hook; 98 Richards St, Brooklyn, NY 11231; (347) 560-8469 
The Gather Inn Again; American (New), Pubs, Coffee & Tea; 4.0 star rating; 16 reviews; Marine Park, Gerritson Beach; 2718 Gerritsen Ave, Brooklyn, NY 11229; (718) 513-6245 
The Gingerbread Learning Center; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Castleton Corners; 471 N Gannon Ave, Staten Island, NY 10314; (718) 356-0008 
The Goddard School; Preschools, Child Care & Day Care; 5.0 star rating; 2 reviews; Upper West Side; 2495 Broadway, New York, NY 10025; (212) 712-2727 
