 Dental Aquaro PC; General Dentistry; 0; 0; Elmhurst; 9603 Roosevelt Avenue, Corona, NY 11368; (718) 396-9711 
Reproductive Medicine Associates of New York; Fertility, Obstetricians & Gynecologists; 4.5 star rating; 7 reviews; Brooklyn Heights; 26 Court St, Brooklyn, NY 11242; (718) 532-8700 
RestoreRehab Physical Therapy; Physical Therapy; 5.0 star rating; 14 reviews; Hell's Kitchen, Midtown West; 664 10th Ave, New York, NY 10036; (212) 245-5259 
Rev. Sheri Heller, LCSW; Counseling & Mental Health; 0; 0; Hell's Kitchen, Midtown West; 330 W 38th St, New York, NY 10018; (212) 594-9801 
Revival Acupuncture & Herbs; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 12 reviews; Yorkville, Upper East Side; 1407 York Ave, New York, NY 10021; (646) 545-9600 
Rhoda Narins, MD; Dermatologists; 3.5 star rating; 5 reviews; Upper East Side; 994 5th Ave, New York, NY 10028; (212) 288-9910 
Rhona Engels, LCSW, ACSW; Counseling & Mental Health; 0; 0; Stuyvesant Town, Gramercy, East Village; 14th St & 1st Ave, New York, NY 10009; (212) 353-0911 
Ricardo Rieppi, Ph D; Counseling & Mental Health; 0; 0; Midtown West; 250 W 57th St, New York, NY 10019; (917) 338-7431 
Richard Kim Chiropractic P.C.; Chiropractors; 5.0 star rating; 2 reviews; Bay Terrace; 23-91 Bell Blvd, Bayside, NY 11360; (718) 224-8382 
Richard Levine,  MD; Doctors; 5.0 star rating; 2 reviews; Upper East Side; 16 E 60th St, New York, NY 10022; (212) 326-8491 
Richard Nass MD; Allergists, Ear Nose & Throat; 5.0 star rating; 4 reviews; Yorkville, Upper East Side; 1430 2nd Ave, New York, NY 10021; (212) 734-4515 
Ridge Family Smiles; General Dentistry; 4.0 star rating; 5 reviews; Bay Ridge; 68-30 Ridge Blvd, Brooklyn, NY 11220; (718) 333-5185 
Ridgewood Dialysis Center; Dialysis Clinics; 0; 0; Astoria; 2920 Newtown Ave, Astoria, NY 11102; (718) 274-9753 
Ridgewood Dialysis Center; Dialysis Clinics; 0; 0; College Point, Flushing; 2314 College Point Boulevard, College Point, NY 11356; (718) 321-2485 
Ridgewood Dialysis Center; Dialysis Clinics; 0; 0; East Harlem; 1249 Fifth Ave, New York, NY 10029; (212) 360-3860 
Ridgewood Dialysis Center; Dialysis Clinics; 0; 0; Ridgewood; 385 Seneca Ave, Ridgewood, NY 11385; (718) 366-1111 
Riley Williams, MD; Doctors; 0; 0; Yorkville, Upper East Side; 525 E 71st St, New York, NY 10021; (212) 606-1855 
Rita Ellent, OD - The Gardens Eye Care; Optometrists; 5.0 star rating; 9 reviews; Forest Hills; 12 Station Sq, Forest Hills, NY 11375; (718) 480-1050 
River Renal Services; Dialysis Clinics; 0; 0; Kips Bay, Stuyvesant Town; 462 1st  Ave, New York, NY 10016; (212) 839-0700 
Riverdale Dialysis Center; Dialysis Clinics; 0; 0; Kingsbridge; 170 W 233rd St, Bronx, NY 10463; (718) 884-4300 
Riverdale Family Dental; General Dentistry; 1.5 star rating; 8 reviews; Kingsbridge; 3534 Riverdale Ave, Bronx, NY 10463; (718) 601-0100 
Riverdale Family Practice; Family Practice; 2.0 star rating; 15 reviews; Kingsbridge; 3050 Corlear Ave, Bronx, NY 10463; (718) 543-2700 
Riverdale Hernia Center; Doctors, Medical Centers; 0; 0; Spuyten Duyvil; 3220 Fairfield Ave Ofc, Bronx, NY 10463; (718) 549-0911 
Riverdale Urgent Care; Urgent Care; 2.5 star rating; 3 reviews; North Riverdale; 5665 Riverdale Ave, Bronx, NY 10471; (347) 913-4242 
Riverside Orthopaedic & Sports Medicine Assoc MD PC; Sports Medicine; 3.5 star rating; 28 reviews; Midtown West; 1790 Broadway, New York, NY 10019; (212) 265-2828 
Riverside Sexually Transmitted Disease ; Medical Centers; 0; 0; Manhattan Valley; 160 W 100th St, New York, NY 10025;  
Rob M Fierstein, LCSW-R; Psychologists; 0; 0; Flatiron; 1133 Broadway, New York, NY 10010; (917) 685-4333 
Robert A. Convissar, DDS; Dentists; 2.5 star rating; 6 reviews; Union Square, Flatiron; 200 Park Ave S, New York, NY 10003; (212) 255-5730 
Robert Bergida  DDS; General Dentistry; 0; 0; Richmond Hill; 11614 Metropolitan Ave, Richmond Hill, NY 11418; (718) 849-9472 
Robert D Lipschutz, DMD, PC; General Dentistry; 3.5 star rating; 3 reviews; Midtown West; 57 W 57th St, New York, NY 10019; (212) 752-3001 
Robert G. Veligdan, DMD; Cosmetic Dentists, Orthodontists; 5.0 star rating; 5 reviews; Hell's Kitchen, Midtown West; 343 W 58th St, New York, NY 10019; (212) 832-2330 
Robert J Mittman; Ear Nose & Throat, Allergists; 1.5 star rating; 11 reviews; Bayside; 3821 Bell Blvd, Bayside, NY 11361; (718) 423-9300 
Robert Lichtenstein, DDS, PC; Oral Surgeons, Cosmetic Dentists, General Dentistry; 0; 0; Midtown East; 420 Lexington Ave, New York, NY 10170; (212) 682-7200 
Robert Mauksch; Counseling & Mental Health; 5.0 star rating; 3 reviews; Flatiron; 1123 Broadway, New York, NY 10010; (917) 714-5219 
Robert Oropall and Danny Gomez; Podiatrists; 5.0 star rating; 3 reviews; Pelham Gardens; 820 Lydig Ave, Bronx, NY 10462; (718) 792-5900 
Robert Schachter, Ph.D; Counseling & Mental Health; 0; 0; Midtown East; 136  E 57th St, New York, NY 10022; (212) 308-1666 
Robert Wilson, MD; Family Practice, Internal Medicine; 0; 0; Financial District; 30 Broad Street, New York, NY 10004; (212) 530-0630 
Robert  Peracchia, DDS; Pediatric Dentists; 4.5 star rating; 5 reviews; Upper West Side; 327 Central Park W, New York, NY 10025; (212) 280-1700 
Roberto Clemente  Clinic  II; null; 0; 0; East Village, Alphabet City; 215 Avenue B, New York, NY 10009; (212) 387-7500 
Robin R Blum, MD, FAAD; Dermatologists; 4.5 star rating; 13 reviews; Midtown West; 200 Central Park, New York, NY 10019; (212) 969-9655 
Robinson Timothy, MD; Family Practice; 2.0 star rating; 14 reviews; Bayside; 3245 Bell Blvd, Bayside, NY 11361; (718) 631-0072 
Rochat Holistic Health; Naturopathic/Holistic, Acupuncture; 5.0 star rating; 2 reviews; West Village; 230 W 13th St, New York, NY 10011; (917) 410-6223 
Rockaway HD; Dialysis Clinics; 0; 0; Far Rockaway; 529 Beach 20th St, Far Rockaway, NY 11691; (718) 327-4503 
Rockefeller Cosmetic Dentistry; Cosmetic Dentists; 0; 0; Midtown West; 630 Fifth Ave, New York, NY 10111; (212) 396-3000 
Rockwell Dialysis Center; Dialysis Clinics; 0; 0; Fort Greene; 19 Rockwell Pl, Brooklyn, NY 11217; (718) 260-2701 
Rodrigo F Viecilli, DDS, PhD; Orthodontists; 0; 0; Greenwich Village, NoHo; 726 Broadway, Ste 350, Manhattan, NY 10003; (212) 443-1300 
Rogosin Kidney Center; Dialysis Clinics; 0; 0; Park Slope; 506 6th St, Brooklyn, NY 11215; (718) 780-5800 
Rogosin West Side; Dialysis Clinics; 0; 0; Hell's Kitchen, Midtown West; 619 W 54th St, New York, NY 10019; (646) 317-0402 
Roheen Raithatha, MD; Ear Nose & Throat; 0; 0; Flatiron; 261 5th Ave, Ste 901, New York, NY 10016; (212) 679-3499 
Roland Nyein, MD; Obstetricians & Gynecologists; 4.0 star rating; 4 reviews; Chinatown; 68 Bayard St, New York, NY 10013; (212) 226-5530 
Roman Rayham, MD; Cosmetic Surgeons; 5.0 star rating; 8 reviews; Sheepshead Bay; 1616B Voorhies Ave, Brooklyn, NY 11235; (718) 484-1022 
Romano Dermatology; Dermatologists; 3.5 star rating; 16 reviews; Flatiron; 58 A W 15th St, New York, NY 10011; (212) 242-5815 
Ron Panvini, PhD; Psychologists; 0; 0; Upper West Side; 160 W 73rd St, New York, NY 10023; (212) 595-4952 
Ronald A Rao, DDS; Cosmetic Dentists, General Dentistry; 4.5 star rating; 32 reviews; Bushwick; 106 Wyckoff Ave, Brooklyn, NY 11237; (718) 821-3535 
Ronald A  Primas, MD; Internal Medicine, Urgent Care; 5.0 star rating; 6 reviews; Upper East Side; 952 5th Ave, New York, NY 10021; (212) 737-1212 
Ronald C Mackenzie, MD; Internal Medicine; 5.0 star rating; 1 review; Upper East Side; 535 E 70th St, New York, NY 10021; (212) 606-1669 
Ronald Englert, DO; Family Practice, Osteopathic Physicians; 5.0 star rating; 1 review; Midtown East; 489 5th Ave, New York, NY 10017; (212) 530-2288 
Ronald R. Fieve, MD PC; Psychiatrists, Counseling & Mental Health; 0; 0; Upper East Side; 952 5th Ave 76th St, New York, NY 10075; (212) 249-1600 
Ronald Shaskan, DDS; General Dentistry; 5.0 star rating; 1 review; Midtown East, Murray Hill; 124 E 40 St, New York, NY 10016; (212) 983-0233 
Roosevelt Dental Care II; Dentists; 1.0 star rating; 1 review; Elmhurst; 95-53 Roosevelt Ave, Jackson Heights, NY 11372; (718) 334-0431 
Roosevelt Hospital Doctors Offices; Hospitals; 3.5 star rating; 15 reviews; Theater District, Hell's Kitchen, Midtown West; 780 8th Ave, New York, NY 10036; (212) 641-4500 
Roosevelt Hospital; Hospitals; 2.5 star rating; 91 reviews; Hell's Kitchen, Midtown West; 1000 Tenth Ave, New York, NY 10019; (212) 523-4000 
Rose DuLude Audiology; Audiologist, Hearing Aid Providers; 0; 0; Upper East Side; 329 E 68th St, New York, NY 10065; (212) 734-8900 
Roseanne Vecchione R LCSW; Counseling & Mental Health; 0; 0; Upper East Side; 19 E 88th St, New York, NY 10128; (917) 882-5215 
Rosen & Deutch, Dds, PC; General Dentistry, Endodontists; 5.0 star rating; 9 reviews; Midtown East; 59 E 54th St, New York, NY 10022; (212) 753-9860 
Rosen Eli MD; Doctors; 4.5 star rating; 2 reviews; Wingate, Crown Heights; 358 Kingston Ave, Brooklyn, NY 11213; (718) 778-7272 
Rosh Maternal Fetal Medicine; Obstetricians & Gynecologists; 2.0 star rating; 19 reviews; Midtown East, Murray Hill; 213 Madison Avenue, New York, NY 10016; (212) 725-0123 
Rothstein Robert, MD; Ophthalmologists; 4.5 star rating; 3 reviews; Forest Hills; 11045 Queens Blvd, Forest Hills, NY 11375; (718) 261-2727 
Roy G Geronemus, MD; Doctors; 3.0 star rating; 6 reviews; Midtown East, Murray Hill; 317 E 34th St, New York, NY 10016; (212) 686-7306 
Roy H. Siegel, D.C.; Chiropractors; 0; 0; Upper West Side; 8 W 65th St, New York, NY 10023; (212) 769-8911 
Ruby Acupuncture Center; Acupuncture, Massage Therapy, Traditional Chinese Medicine; 5.0 star rating; 4 reviews; Kew Gardens; 8231 Austin St, Kew Gardens, NY 11415; (917) 816-6661 
Runner  Clinic  NYC; Acupuncture, Physical Therapy, Pilates; 5.0 star rating; 8 reviews; Midtown East, Murray Hill; 124 E 40th, Manhattan, NY 10016; (917) 484-0887 
Runner  Clinic  NYC; Pilates, Acupuncture, Physical Therapy; 5.0 star rating; 1 review; Upper East Side; 1556 3rd Ave, Manhattan, NY 10128; (917) 484-0887 
Rusk Institute of Rehabilitation Medicine; Hospitals; 3.0 star rating; 6 reviews; Midtown East, Murray Hill, Kips Bay; 400 E 34th St, New York, NY 10016; (212) 263-6028 
Russak Dermatology ; Dermatologists; 4.5 star rating; 10 reviews; Midtown East; 115 E 57th St, Manhattan, NY 10022; (646) 873-7546 
Russell Beckhardt, MD, FACS; Ear Nose & Throat; 5.0 star rating; 1 review; Astoria; 31-19 Newtown Ave, Ste 201, Astoria, NY 11102; (718) 971-2490 
Russell Laudon, MD; Internal Medicine; 3.0 star rating; 5 reviews; LeFrak City; 5910 Junction Blvd, Queens, NY 11368; (718) 592-3200 
Ryan J Fuller, Ph.D.; Counseling & Mental Health; 5.0 star rating; 4 reviews; Midtown East; 330 Madison Ave, New York, NY 10017; (646) 495-3078 
Ryan William F Community Health Center Annex; Medical Centers; 3.5 star rating; 3 reviews; Manhattan Valley; 160 W 100th St, New York, NY 10025; (212) 769-7200 
Ryan-NENA Community Heath Center; Medical Centers, General Dentistry; 3.0 star rating; 12 reviews; East Village, Alphabet City; 279 E 3rd St., NY, NY 10009; (212) 477-8500 
Ryan/Chelsea-Clinton Community Health Center; Medical Centers; 2.0 star rating; 11 reviews; Hell's Kitchen, Midtown West; 645 10th Ave, New York, NY 10036; (212) 265-4500 
S Robert Rozbruch, MD; Orthopedists; 4.0 star rating; 4 reviews; Upper East Side; 535 E 70th St, New York, NY 10021; (212) 606-1415 
SEE; Eyewear & Opticians, Optometrists; 4.0 star rating; 56 reviews; West Village; 312 Bleecker St, New York, NY 10014; (212) 989-7060 
SEL Medical Group; Medical Centers; 1.0 star rating; 3 reviews; Downtown Brooklyn; 395 Pearl St, Brooklyn, NY 11201; (718) 875-1144 
SHL Acupuncture & Herb; Acupuncture, Traditional Chinese Medicine, Massage Therapy; 5.0 star rating; 33 reviews; SoHo; 217 Centre St, NY, NY 10013; (212) 274-8226 
SKYNgenuity; Medical Spas, Hair Removal; 4.0 star rating; 31 reviews; Gramercy, Flatiron; 112 E 23rd St, New York, NY 10010; (212) 463-8919 
SPEAR Physical Therapy; Physical Therapy, Massage Therapy; 5.0 star rating; 37 reviews; Chelsea; 269 W 16th St, New York, NY 10011; (646) 841-1411 
SPEAR Physical Therapy; Physical Therapy, Trainers, Massage; 4.5 star rating; 27 reviews; Midtown East; 120 E 56th St, Manhattan, NY 10022; (212) 759-2211 
SPEAR Physical Therapy; Physical Therapy; 0; 0; Financial District; 30 Broad St, New York, NY 10004; (646) 790-7454 
SPEAR Physical Therapy; Physical Therapy; 4.5 star rating; 24 reviews; Midtown West; 36 W 44th St, Manhattan, NY 10036; (212) 759-2280 
SPEAR Physical Therapy; Physical Therapy; 5.0 star rating; 18 reviews; Yorkville, Upper East Side; 245 E 84th St, Manhattan, NY 10028; (646) 841-1414 
SPEAR Physical Therapy; Physical Therapy; 5.0 star rating; 5 reviews; Midtown West; 57 W 57th Street, New York, NY 10019; (646) 790-7464 
SZ&L Oral Surgery; Oral Surgeons; 4.5 star rating; 7 reviews; Upper East Side; 750 Park Ave, New York, NY 10021; (212) 861-7979 
Sachs Center; Counseling & Mental Health, Physical Therapy, Psychiatrists; 5.0 star rating; 3 reviews; Upper West Side; 235 West 76th Street, Suite 1B, New York City, NY 10023; (646) 807-8900 
Sacred Skincare; Medical Spas, Skin Care, Waxing; 5.0 star rating; 7 reviews; Financial District; 160 Broadway, New York, NY 10038; (929) 346-1907 
Sadick Dermatology; Dermatologists; 3.5 star rating; 36 reviews; Upper East Side; 911 Park Ave, New York, NY 10021; (212) 772-7242 
Sagalovich Boris MD PC; Doctors; 5.0 star rating; 1 review; Midwood; 1664 E 14th Street, Brooklyn, NY 11229; (718) 339-4800 
Sage Wellness; Acupuncture, Traditional Chinese Medicine; 0; 0; Financial District; 139 Fulton St, New York, NY 10038; (917) 763-8560 
Saint Albans Dialysis Center; Dialysis Clinics; 0; 0; Rochdale; 17270 Baisley Boulevard, Jamaica, NY 11434; (718) 949-1600 
Saint Luke’s Medical Group; Family Practice, Medical Centers; 3.5 star rating; 3 reviews; Harlem; 2771 Frederick Douglass Blvd, New York, NY 10039; (212) 690-0303 
Saj Bhusri, MD; Cardiologists; 0; 0; Upper East Side; 100 E 77th St, New York, NY 10075; (212) 434-2170 
Salil P Marfatia, MD PC; Gastroenterologist; 3.5 star rating; 3 reviews; Rego Park; 9229 Queens Blvd, New York, NY 11374; (718) 897-5700 
Sally H. Kwa, MD; Internal Medicine; 5.0 star rating; 1 review; Hell's Kitchen, Midtown West; 355 W 52nd St, 3rd Fl, New York, NY 10019; (646) 754-2100 
Sally Rappeport Licensed Acupuncturist; Acupuncture; 5.0 star rating; 1 review; Park Slope; 911 Union Street, Brooklyn, NY 11215; (718) 398-5284 
Salob Stacy P MD; Doctors; 3.5 star rating; 3 reviews; Upper East Side; 225 E 64th Street, New York, NY 10021; (212) 317-1100 
Samadhi; Acupuncture, Medical Spas; 4.5 star rating; 8 reviews; Union Square, Gramercy, Flatiron; 32 Union Square E, Manhattan, NY 10003; (917) 657-4515 
Samantha Story LAc; Acupuncture; 5.0 star rating; 4 reviews; Union Square, Gramercy, Flatiron; 41 Union Sq E, New York, NY 10003; (646) 436-8355 
Samer Jaber, MD; Dermatologists, Cosmetic Surgeons; 5.0 star rating; 32 reviews; Greenwich Village; 18 Washington Square North, New York, NY 10011; (646) 854-6744 
Sami S David, MD, PC; Fertility; 4.5 star rating; 6 reviews; Upper East Side; 1045 5th Ave, New York, NY 10028; (212) 831-0430 
Samoon Ahmad, MD; Psychiatrists; 0; 0; Upper East Side; 800 5th Ave, New York, NY 10065; (212) 585-1111 
Samuel T Jung, DDS; General Dentistry; 5.0 star rating; 3 reviews; Downtown Flushing, Flushing; 13511 40th Rd, Flushing, NY 11354; (718) 359-4433 
Samuels Orthopaedic Immediate Care Center; Urgent Care; 2.5 star rating; 6 reviews; Gramercy; 301 East 17th St, Manhattan, NY 10003; (212) 598-7600 
Sandeep Herbal Ayurvedic; Naturopathic/Holistic, Health Markets; 3.5 star rating; 3 reviews; Astoria; 47-14 30th Ave, Astoria, NY 11103; (718) 766-8875 
Sandhya Nayak, MD; Obstetricians & Gynecologists; 1.0 star rating; 1 review; Ozone Park; 101-08 113th St, New York, NY 11419; (718) 285-9781 
Sandra Gilban, MD; Doctors; 3.5 star rating; 13 reviews; Upper East Side; 899 Park Ave, New York, NY 10075; (212) 396-4200 
Sandy M Fung, MD; Family Practice; 4.0 star rating; 31 reviews; Chinatown; 17 Elizabeth St, New York, NY 10013; (212) 925-5230 
Sarah Romeo, NP; Doctors; 0; 0; Midtown West; 1790 Broadway, New York, NY 10019; (212) 530-0624 
Sarah Sajdak, MS, LAc; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 2 reviews; Greenwich Village; 80 E11th St, Manhattan, NY 10003; (917) 496-5481 
Satellite Family Health ; null; 0; 0; Weeksville, Crown Heights; 342 Kingsborough 3rd Wal, Brooklyn, NY 11233; (718) 778-1003 
Saul Ackerman Acupuncture; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 2 reviews; Financial District; 42 Broadway, New York, NY 10004; (212) 432-5228 
Schiff Dental ; Pediatric Dentists, Oral Surgeons, General Dentistry; 1.0 star rating; 2 reviews; Norwood; 3444 Kossuth Ave, Bronx, NY 10467; (888) 700-6623 
Schloss Steven, DDS; General Dentistry; 4.0 star rating; 25 reviews; Midtown West; 250 W 57th St, New York, NY 10001; (212) 247-6858 
Schneebaum W Cary, MD; Gastroenterologist; 0; 0; Flatiron; 22 W 15th St, New York, NY 10011; (212) 741-6100 
Schneider Speech; Speech Therapists; 0; 0; Upper West Side; 154 W 70th St, Manhattan, NY 10023; (347) 673-1620 
School Based Health  Clinic  At Norman Thomas; Hospitals; 1.0 star rating; 1 review; Midtown East, Murray Hill; 111 E 33rd Street, New York, NY 10016; (212) 686-1522 
School Based Health  Clinic  At PS 51; Hospitals; 0; 0; Hell's Kitchen, Midtown West; 520 W 45th St, New York, NY 10036; (212) 265-5006 
Schulman Vein and Laser Center; Doctors; 4.0 star rating; 5 reviews; Upper East Side; 1165 Park Ave, New York, NY 10128; (212) 987-0500 
Schweiger Dermatology - Midtown; Dermatologists, Cosmetic Surgeons, Laser Hair Removal; 3.5 star rating; 94 reviews; Midtown East; 110 E 55th St, New York, NY 10022; (212) 283-3000 
Schweiger Dermatology; Dermatologists, Skin Care; 4.0 star rating; 7 reviews; Hell's Kitchen, Midtown West; 315 W 57th St, New York, NY 10019; (212) 203-0908 
Schweiger Dermatology; Dermatologists; 3.5 star rating; 14 reviews; Flatiron; 21 W 19th St, New York, NY 10011; (212) 203-5519 
Schweiger Dermatology; Dermatologists; 5.0 star rating; 2 reviews; Upper East Side; 153 E 88th St, New York, NY 10028; (212) 289-8600 
Schweiger Dermatology; Dermatologists; 5.0 star rating; 5 reviews; Midtown East, Murray Hill; 35 E 35th St, New York, NY 10016; (212) 225-8867 
Schweiger Dermatology; Dermatologists; 5.0 star rating; 8 reviews; Financial District; 65 Broadway, New York, NY 10006; (212) 203-7696 
Schweitzer & Schweitzer, PC; Oral Surgeons, General Dentistry, Cosmetic Dentists; 5.0 star rating; 10 reviews; Midtown East; 133 E 58th St, New York, NY 10022; (212) 759-4969 
Scoliosis Systems; Orthopedists, Chiropractors; 0; 0; Upper East Side; 1085 Park Ave, New York, NY 10128; (800) 281-5010 
Scolismart ; Medical Centers; 0; 0; Midtown West; 2 W 45th St, New York, NY 10036; (212) 335-2020 
Scott E. Newman MD, FACS; Cosmetic Surgeons; 0; 0; Upper East Side; 1035 Park Avenue, New York, NY 10028; (212) 472-6100 
Scott H. Froum, DDS; General Dentistry; 5.0 star rating; 4 reviews; Midtown East; 1110 2nd Ave Ste 305, New York, NY 10022; (212) 751-8530 
Scott J Zevon, MD, FACS; Cosmetic Surgeons; 5.0 star rating; 3 reviews; Upper West Side; 75 Central Park W, New York, NY 10023; (212) 496-6600 
Scott W Stern Empowering Psychotherapy; Counseling & Mental Health, Life Coach; 0; 0; Flatiron; 407 Park Ave S, New York City, NY 10016; (212) 935-7911 
Seanna Sifflet, LAc, MSW; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 1 review; Meatpacking District, West Village; 408 W 14th Street, New York, NY 10014; (212) 530-0639 
Sebastian Lighvani, MD; Allergists; 5.0 star rating; 23 reviews; Yorkville, Upper East Side; 261 E 78th St, New York, NY 10075; (212) 517-3300 
Second Avenue Dental Group; General Dentistry; 3.0 star rating; 8 reviews; East Harlem; 1976 2nd Ave Frnt, New York, NY 10029; (212) 996-6269 
Second Opinion Radiology; Radiologists; 0; 0; West Village; 666 Greenwich St, New York, NY 10014; (646) 509-7410 
Seleni Institute; Counseling & Mental Health; 5.0 star rating; 3 reviews; Yorkville, Upper East Side; 207 E 94th St, New York, NY 10128; (212) 939-7200 
Seligman Orthodontics; Orthodontists; 5.0 star rating; 4 reviews; Upper East Side; 898 Park Ave, New York, NY 10075; (646) 780-0143 
Semih Gungor Md.; Hospitals; 5.0 star rating; 1 review; Upper East Side; 525 E 71st St Apt 7I, New York, NY 10021; (212) 774-2176 
Sensory City Pediatric Occupational Therapy; Occupational Therapy; 4.0 star rating; 7 reviews; Long Island City; 11-11 44th Rd, New York, NY 11101; (718) 433-4434 
Senzamici Camille MD; Doctors; 4.5 star rating; 2 reviews; Union Square, Gramercy, Flatiron; 10 Union Sq E, New York, NY 10003; (212) 844-8308 
Serenity New York; Rehabilitation Center; 1.0 star rating; 1 review; TriBeCa; 285 W Broadway, New York, NY 10013; (646) 668-0352 
Servedio Dominick; Audiologist; 5.0 star rating; 1 review; Upper West Side; 200 W 57th St, New York, NY 10024; (917) 441-6094 
Seven Point Wellness; Acupuncture; 5.0 star rating; 1 review; Midtown East; 16 E 40th St, New York, NY 10016; (917) 210-1063 
Seven Seas Acupuncture; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 14 reviews; Park Slope; 911 Union St, Brooklyn, NY 11215; (347) 260-3072 
Sex Therapy New York; Sex Therapists; 0; 0; Koreatown, Midtown East; 347 5th Ave, New York, NY 10016; (212) 689-7185 
Shade Bar Organic Hairspa; Hair Salons; 4.0 star rating; 270 reviews; Astoria, Steinway; 36-05 Ditmars Blvd, Astoria, NY 11105; (718) 278-7892 
Shafer Plastic Surgery; Cosmetic Surgeons; 0; 0; Midtown East; 10 E 53rd St, New York, NY 10022; (212) 888-7770 
Shahnoz Rustamova, MD; Obstetricians & Gynecologists; 3.5 star rating; 18 reviews; Midtown West; 134 W 58th St, New York, NY 10019; (212) 974-0490 
Shamir A Khan; Counseling & Mental Health; 0; 0; Midtown West; 19 W 34th St, Manhattan, NY 10016; (917) 817-9028 
Shanghai Medical ; Doctors; 0; 0; Downtown Flushing, Flushing; 13636 39th Ave, Flushing, NY 11354; (718) 886-4977 
Sharon Packer MD; Counseling & Mental Health, Psychiatrists; 1.5 star rating; 11 reviews; SoHo, Nolita; 270 Lafayette St, New York, NY 10012; (212) 777-1875 
Shauna Cummins, CH, NGH; Hypnosis/Hypnotherapy; 5.0 star rating; 4 reviews; Chelsea, Midtown West; 135 W 29th St, New York, NY 10001; (715) 575-1980 
Shawn Salehezadeh, DDS; General Dentistry, Cosmetic Dentists; 5.0 star rating; 22 reviews; Midtown East, Murray Hill; 265 Madison Ave, New York, NY 10016; (212) 768-7422 
Shawn Yunayev, MD; Obstetricians & Gynecologists, Medical Spas; 1.0 star rating; 1 review; Mill Basin; 6410 Veterans Ave, Brooklyn, NY 11234; (718) 209-6400 
Sheepshead Bay Renal Care Center; Dialysis Clinics; 0; 0; Brighton Beach; 26 Brighton 11th St, Brooklyn, NY 11235; (718) 743-5955 
Sher Institute For Reproductive Medicine; Fertility; 3.5 star rating; 10 reviews; Midtown East, Midtown West; 425 5th Ave, New York, NY 10016; (646) 792-7476 
Sherry Shieh, MD; Dermatologists; 4.5 star rating; 72 reviews; Flatiron; 928 Broadway, New York, NY 10010; (212) 982-8229 
Sheryl D Clark, M.D. Dermatology and Dermatologic Surgery; Dermatologists, Skin Care; 3.5 star rating; 11 reviews; Upper East Side; 109 E 61ST ST, New York, NY 10065; (212) 750-2905 
Shirke Aneil M, MD, PHD; Psychiatrists; 3.0 star rating; 4 reviews; Upper West Side; 26 W 95th St, New York, NY 10025; (212) 505-5983 
Shiuann-Rong Chen, DDS; Orthodontists; 5.0 star rating; 2 reviews; Downtown Flushing, Flushing; 4107 Bowne St, Flushing, NY 11355; (718) 762-1100 
Shobha Manaktala; Acupuncture; 5.0 star rating; 1 review; Kingsbridge; Bronx, NY 10463; (347) 731-9013 
Shootin’ School, Inc; Trainers, Basketball Courts; 0; 0; Elm Park; 120 Anderson Ave, New York, NY 10302; (917) 692-6337 
Shum Chi; Internal Medicine; 4.5 star rating; 18 reviews; Midtown East; 155 E 47th St, New York, NY 10017; (212) 308-4894 
Sidney Hillman Family Practice; Family Practice; 2.5 star rating; 47 reviews; Union Square, Flatiron; 16 E 16th St, New York, NY 10003; (212) 206-5200 
Sil Chen Psychotherapy; Counseling & Mental Health; 5.0 star rating; 1 review; Williamsburg - North Side; 169 Wythe Ave, Brooklyn, NY 11249; (646) 280-5274 
Siloam Acupuncture ; Acupuncture; 0; 0; Elmhurst; 7129 Roosevelt Avenue, Jackson Heights, NY 11372; (718) 429-6091 
Silver Acupuncture & Chinese Herbs; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 25 reviews; Midtown East, Murray Hill; 350 Lexington Ave, New York, NY 10016; (914) 388-1964 
Silverman & Associates; Orthodontists, Periodontists, Cosmetic Dentists; 3.5 star rating; 7 reviews; Bayside; 43-07 214th Pl, Bayside, NY 11361; (718) 225-0515 
Simonson Rayze MD; Doctors; 2.5 star rating; 5 reviews; Upper West Side; 50 W 77th Street, New York, NY 10024; (212) 579-6000 
Singh Pritam, MD; Internal Medicine; 4.5 star rating; 3 reviews; Astoria; 2714 Ditmars Blvd, Astoria, NY 11105; (718) 278-1484 
Sinh T. Ta D.D.S; Orthodontists, Pediatric Dentists; 5.0 star rating; 1 review; Upper East Side; 15 East 91st St, New York, NY 10128; (212) 876-6475 
Sinkin Michael L, DDS; General Dentistry; 5.0 star rating; 8 reviews; Midtown East, Murray Hill; 30 E 40th St, New York, NY 10016; (212) 685-3040 
Sirota Rochelle Cd Cn Nutritionist; Nutritionists; 0; 0; Greenwich Village; 80 E 11th St, New York, NY 10003; (212) 598-9447 
Skin Deep ; Medical Spas; 5.0 star rating; 5 reviews; Middle Village; 94-19 59th Ave, Elmhurst, NY 11373; (917) 584-4353 
Skin Laser & Surgery Specialists of NY and NJ; Dermatologists, Skin Care, Cosmetic Surgeons; 3.0 star rating; 17 reviews; Midtown East; 115 E 57th St, New York, NY 10022; (212) 750-8900 
